Year,Age,Count
1974,16-24,41
1974,25-34,47
1974,35-49,49
1974,50-59,48
1974,60 and Over,26
1976,16-24,40
1976,25-34,43
1976,35-49,45
1976,50-59,46
1976,60 and Over,24
1978,16-24,38
1978,25-34,42
1978,35-49,43
1978,50-59,42
1978,60 and Over,24
1980,16-24,36
1980,25-34,44
1980,35-49,43
1980,50-59,44
1980,60 and Over,24
1982,16-24,35
1982,25-34,37
1982,35-49,38
1982,50-59,40
1982,60 and Over,23
1984,16-24,34
1984,25-34,36
1984,35-49,36
1984,50-59,39
1984,60 and Over,23
1986,16-24,35
1986,25-34,35
1986,35-49,34
1986,50-59,35
1986,60 and Over,22
1988,16-24,33
1988,25-34,35
1988,35-49,35
1988,50-59,34
1988,60 and Over,21
1990,16-24,36
1990,25-34,34
1990,35-49,33
1990,50-59,29
1990,60 and Over,20
1992,16-24,32
1992,25-34,34
1992,35-49,30
1992,50-59,29
1992,60 and Over,19
1994,16-24,34
1994,25-34,30
1994,35-49,28
1994,50-59,26
1994,60 and Over,17
1996,16-24,34
1996,25-34,34
1996,35-49,30
1996,50-59,26
1996,60 and Over,19
1998,16-24,35
1998,25-34,33
1998,35-49,28
1998,50-59,27
1998,60 and Over,16
2000,16-24,32
2000,25-34,32
2000,35-49,27
2000,50-59,28
2000,60 and Over,15
2001,16-24,33
2001,25-34,31
2001,35-49,28
2001,50-59,25
2001,60 and Over,17
2002,16-24,34
2002,25-34,33
2002,35-49,27
2002,50-59,24
2002,60 and Over,14
2003,16-24,30
2003,25-34,31
2003,35-49,28
2003,50-59,23
2003,60 and Over,14
2004,16-24,28
2004,25-34,28
2004,35-49,28
2004,50-59,23
2004,60 and Over,14
2005,16-24,28
2005,25-34,29
2005,35-49,26
2005,50-59,23
2005,60 and Over,13
2006,16-24,25
2006,25-34,26
2006,35-49,25
2006,50-59,22
2006,60 and Over,12
2007,16-24,25
2007,25-34,23
2007,35-49,23
2007,50-59,21
2007,60 and Over,12
2008,16-24,29
2008,25-34,25
2008,35-49,23
2008,50-59,20
2008,60 and Over,12
2009,16-24,26
2009,25-34,24
2009,35-49,23
2009,50-59,20
2009,60 and Over,13
2010,16-24,24
2010,25-34,25
2010,35-49,23
2010,50-59,20
2010,60 and Over,13
2011,16-24,24
2011,25-34,21
2011,35-49,23
2011,50-59,18
2011,60 and Over,12
2012,16-24,23
2012,25-34,23
2012,35-49,21
2012,50-59,19
2012,60 and Over,12
2013,16-24,20
2013,25-34,20
2013,35-49,20
2013,50-59,19
2013,60 and Over,10
2014,16-24,21
2014,25-34,22
2014,35-49,20
2014,50-59,18
2014,60 and Over,11
