Country name,percent 2007,percent,change
Africa Eastern and Southern,19.29,14.66,-4.63
Africa Western and Central,9.44,7.63,-1.81
Albania,32,29.2,-2.8
Algeria,20.8,18.8,-2
Andorra,35.1,33.8,-1.3
Arab World,22.13,20.05,-2.08
Argentina,34.1,21.8,-12.3
Armenia,31.3,26.7,-4.6
Australia,22.4,16.2,-6.2
Austria,39.4,29.1,-10.3
Azerbaijan,24.2,19.6,-4.6
Bahamas,11.3,10.9,-0.4
Bahrain,26.5,25.1,-1.4
Bangladesh,45.5,39.1,-6.4
Barbados,9.6,8.7,-0.9
Belarus,32.6,26.6,-6
Belgium,27.8,25,-2.8
Benin,12.1,7.2,-4.9
Bosnia and Herzegovina,42.8,38.3,-4.5
Botswana,27.7,23.7,-4
Brazil,25,16.5,-8.5
Brunei,16.5,15.5,-1
Bulgaria,44.8,38.9,-5.9
Burkina Faso,22.7,16,-6.7
Burundi,16.9,12.6,-4.3
Cambodia,34.6,21.8,-12.8
Cameroon,9.7,9.3,-0.4
Canada,28.1,17.5,-10.6
Central Europe and the Baltics,34.87,28.78,-6.09
Chad,13.6,11.8,-1.8
Chile,49.6,44.7,-4.9
China,27.3,24.7,-2.6
Colombia,12.4,7.9,-4.5
Comoros,30.4,19.5,-10.9
Congo,12.6,16.1,3.5
Costa Rica,14.2,9.8,-4.4
Cote d'Ivoire,16.9,13,-3.9
Croatia,35.3,36.6,1.3
Cuba,37.8,27.1,-10.7
Cyprus,40,36.7,-3.3
Czechia,33.4,31.5,-1.9
Denmark,28.5,18.6,-9.9
Dominican Republic,14.3,9.4,-4.9
Early-demographic dividend,33.86,25.65,-8.21
East Asia & Pacific,29.32,26.1,-3.22
East Asia & Pacific (IDA & IBRD),29.66,26.8,-2.86
East Asia & Pacific (excluding high income),29.54,26.7,-2.84
Egypt,21.3,21.4,0.1
El Salvador,16.2,12.7,-3.5
Eritrea,10.2,7.2,-3
Estonia,36.4,30.5,-5.9
Eswatini,11.4,10.7,-0.7
Ethiopia,5.8,4.6,-1.2
Euro area,31.25,28.37,-2.88
Europe & Central Asia,31.46,26.88,-4.58
Europe & Central Asia (IDA & IBRD),31.67,26.93,-4.74
Europe & Central Asia (excluding high income),31.37,26.91,-4.46
European Union,32.27,28.29,-3.98
Fiji,29.9,26.7,-3.2
Finland,25,19.7,-5.3
Fragile and conflict affected situations,17.79,13.98,-3.81
France,34.5,34.6,0.1
Gambia,18.3,14.4,-3.9
Georgia,32.4,29.7,-2.7
Germany,31.2,28,-3.2
Ghana,5.1,3.7,-1.4
Greece,45.3,39.1,-6.2
Guyana,19.5,12.2,-7.3
Haiti,10.4,8.3,-2.1
Heavily indebted poor countries (HIPC),14.37,10.78,-3.59
High income,29.79,24.75,-5.04
Hungary,35.9,30.6,-5.3
IBRD only,30.84,25.03,-5.81
IDA & IBRD total,29.79,23.73,-6.06
IDA blend,18.47,12.99,-5.48
IDA only,28.75,21.79,-6.96
IDA total,24.74,18.35,-6.39
Iceland,22.1,13.8,-8.3
India,38.5,27,-11.5
Indonesia,39.3,37.9,-1.4
Iran,18,14,-4
Iraq,25.2,22.2,-3
Ireland,30.2,23.6,-6.6
Israel,28.7,25.5,-3.2
Italy,25.1,23.4,-1.7
Jamaica,15.4,11,-4.4
Japan,28.3,21.9,-6.4
Kazakhstan,29.4,24.4,-5
Kenya,15.6,11.8,-3.8
Kiribati,61.2,52,-9.2
Kuwait,24.4,22.1,-2.3
Kyrgyzstan,30.1,27.9,-2.2
Laos,51.1,37.8,-13.3
Late-demographic dividend,27.43,23.69,-3.74
Latin America & Caribbean,23.59,15.92,-7.67
Latin America & Caribbean (IDA & IBRD),23.22,15.66,-7.56
Latin America & Caribbean (excluding high income),22.56,14.79,-7.77
Latvia,39,36.7,-2.3
Least developed countries: UN classification,30.04,22.75,-7.29
Lebanon,43.3,42.6,-0.7
Lesotho,25.1,29.7,4.6
Liberia,11.3,8.4,-2.9
Lithuania,32.4,27.1,-5.3
Low & middle income,29.65,23.62,-6.03
Lower middle income,33.28,25.13,-8.15
Luxembourg,26.2,21.7,-4.5
Madagascar,36.5,28.9,-7.6
Malawi,19.5,12.8,-6.7
Malaysia,25.7,21.8,-3.9
Mali,12.5,12,-0.5
Malta,30.1,25.1,-5
Mauritius,31.7,26.9,-4.8
Mexico,19.4,13.9,-5.5
Middle East & North Africa,21.3,18.88,-2.42
Middle East & North Africa (IDA & IBRD),21.62,19.08,-2.54
Middle East & North Africa (excluding high income),21.62,19.08,-2.54
Middle income,30.29,24.27,-6.02
Moldova,24.7,25.3,0.6
Mongolia,33.4,27.6,-5.8
Morocco,19.4,14.7,-4.7
Mozambique,21.4,14.4,-7
Myanmar,55.4,45.5,-9.9
Namibia,21.9,17.9,-4
Nauru,62.8,52.1,-10.7
Nepal,49,31.9,-17.1
Netherlands,28.4,23.4,-5
New Zealand,22.5,14.8,-7.7
Niger,8,8.6,0.6
Nigeria,6.1,4.8,-1.3
North America,29,24.3,-4.7
North Korea,20.3,18.8,-1.5
Norway,20.7,13,-7.7
OECD members,28.95,23.79,-5.16
Oman,9.5,9.6,0.1
Other small states,26.74,22.6,-4.14
Pacific island small states,34.32,31.03,-3.29
Pakistan,30.7,20,-10.7
Palau,29.5,23.7,-5.8
Panama,11.8,6.9,-4.9
Paraguay,21.2,12.8,-8.4
Peru,20.6,9.6,-11
Philippines,30.5,24.3,-6.2
Poland,34.1,26,-8.1
Portugal,26.1,27.9,1.8
Post-demographic dividend,30.11,24.91,-5.2
Pre-demographic dividend,14.56,11.29,-3.27
Qatar,14.9,14,-0.9
Romania,34.4,25.5,-8.9
Russia,31.5,28.3,-3.2
Rwanda,17,13.3,-3.7
Samoa,35.6,28.9,-6.7
Sao Tome and Principe,5.9,5.4,-0.5
Saudi Arabia,16.8,16.6,-0.2
Senegal,12.1,9.1,-3
Serbia,43.6,40.6,-3
Seychelles,23.7,21.1,-2.6
Sierra Leone,28.6,19.8,-8.8
Singapore,16.5,16.5,0
Slovakia,31.9,32.3,0.4
Slovenia,24.3,22.7,-1.6
Small states,25.25,21.32,-3.93
Solomon Islands,40.4,37.9,-2.5
South Africa,35,31.4,-3.6
South Asia,38.35,27.37,-10.98
South Asia (IDA & IBRD),38.35,27.37,-10.98
South Korea,29.1,22,-7.1
Spain,33.3,27.9,-5.4
Sri Lanka,25.5,22.9,-2.6
Sub-Saharan Africa,14.77,11.45,-3.32
Sub-Saharan Africa (IDA & IBRD),14.77,11.45,-3.32
Sub-Saharan Africa (excluding high income),14.76,11.45,-3.31
Sweden,41.7,28.8,-12.9
Switzerland,27.1,25.1,-2
Tanzania,18.7,13.3,-5.4
Thailand,28.1,22.8,-5.3
Timor,48.5,38.2,-10.3
Togo,9.9,7.6,-2.3
Tonga,31.7,30.2,-1.5
Tunisia,33.6,26,-7.6
Turkey,32.6,29.3,-3.3
Tuvalu,56.7,48.7,-8
Uganda,17.3,9.8,-7.5
Ukraine,32.9,25.5,-7.4
United Arab Emirates,20,18.2,-1.8
United Kingdom,30.3,19.2,-11.1
United States of America,29.1,25.1,-4
Upper middle income,27.36,23.31,-4.05
Uruguay,31.1,21.8,-9.3
Uzbekistan,14.4,12.3,-2.1
Vanuatu,28.3,24.1,-4.2
World,29.68,23.83,-5.85
Yemen,26.2,20.9,-5.3
Zambia,17.6,14.7,-2.9
Zimbabwe,16.4,13.9,-2.5
